0	category("Paper868", "HardwareandArchitecture")
1	category("Paper611", "ArtificialIntelligence")
2	category("Paper899", "ArtificialIntelligence")
3	category("Paper658", "InformationRetrieval")
4	category("Paper642", "OperatingSystems")
5	category("Paper145", "HardwareandArchitecture")
6	category("Paper610", "EncryptionandCompression")
7	category("Paper250", "EncryptionandCompression")
8	category("Paper611", "HardwareandArchitecture")
9	category("Paper100", "OperatingSystems")
10	category("Paper404", "DataStructuresAlgorithmsandTheory")
11	category("Paper95", "Databases")
12	category("Paper155", "InformationRetrieval")
13	category("Paper60", "Programming")
14	category("Paper613", "Networking")
15	category("Paper164", "Programming")
16	category("Paper20", "OperatingSystems")
17	category("Paper801", "OperatingSystems")
18	category("Paper994", "Networking")
19	category("Paper65", "HumanComputerInteraction")
20	category("Paper743", "HumanComputerInteraction")
21	category("Paper136", "Programming")
22	category("Paper642", "Programming")
23	category("Paper783", "InformationRetrieval")
24	category("Paper613", "ArtificialIntelligence")
25	category("Paper452", "OperatingSystems")
26	category("Paper630", "Programming")
27	category("Paper605", "EncryptionandCompression")
28	category("Paper103", "InformationRetrieval")
29	category("Paper626", "ArtificialIntelligence")
30	category("Paper559", "HardwareandArchitecture")
31	category("Paper855", "ArtificialIntelligence")
32	category("Paper869", "DataStructuresAlgorithmsandTheory")
33	category("Paper941", "ArtificialIntelligence")
34	category("Paper994", "DataStructuresAlgorithmsandTheory")
35	category("Paper130", "HardwareandArchitecture")
36	category("Paper668", "InformationRetrieval")
37	category("Paper139", "HumanComputerInteraction")
38	category("Paper726", "InformationRetrieval")
39	category("Paper887", "Networking")
40	category("Paper743", "DataStructuresAlgorithmsandTheory")
41	category("Paper608", "Programming")
42	category("Paper264", "HardwareandArchitecture")
43	category("Paper869", "ArtificialIntelligence")
44	category("Paper726", "HardwareandArchitecture")
45	category("Paper724", "HumanComputerInteraction")
46	category("Paper149", "InformationRetrieval")
47	category("Paper272", "DataStructuresAlgorithmsandTheory")
48	category("Paper591", "HardwareandArchitecture")
49	category("Paper320", "Networking")
50	category("Paper250", "InformationRetrieval")
51	category("Paper868", "ArtificialIntelligence")
52	category("Paper20", "Networking")
53	category("Paper141", "Programming")
54	category("Paper103", "HumanComputerInteraction")
55	category("Paper526", "Programming")
56	category("Paper22", "EncryptionandCompression")
57	category("Paper463", "OperatingSystems")
58	category("Paper593", "Databases")
59	category("Paper942", "Networking")
60	category("Paper304", "Networking")
61	category("Paper288", "Programming")
62	category("Paper18", "InformationRetrieval")
63	category("Paper491", "Programming")
64	category("Paper648", "ArtificialIntelligence")
65	category("Paper600", "HardwareandArchitecture")
66	category("Paper91", "HardwareandArchitecture")
67	category("Paper626", "DataStructuresAlgorithmsandTheory")
68	category("Paper900", "OperatingSystems")
69	category("Paper144", "Programming")
70	category("Paper656", "HardwareandArchitecture")
71	category("Paper600", "DataStructuresAlgorithmsandTheory")
72	category("Paper605", "HumanComputerInteraction")
73	category("Paper648", "HumanComputerInteraction")
74	category("Paper610", "HardwareandArchitecture")
75	category("Paper501", "ArtificialIntelligence")
76	category("Paper831", "ArtificialIntelligence")
77	category("Paper589", "OperatingSystems")
78	category("Paper136", "DataStructuresAlgorithmsandTheory")
79	category("Paper54", "Databases")
80	category("Paper837", "DataStructuresAlgorithmsandTheory")
81	category("Paper506", "DataStructuresAlgorithmsandTheory")
82	category("Paper136", "EncryptionandCompression")
83	category("Paper801", "DataStructuresAlgorithmsandTheory")
84	category("Paper649", "Programming")
85	category("Paper128", "OperatingSystems")
86	category("Paper434", "HumanComputerInteraction")
87	category("Paper941", "OperatingSystems")
88	category("Paper610", "ArtificialIntelligence")
89	category("Paper869", "Programming")
90	category("Paper501", "DataStructuresAlgorithmsandTheory")
91	category("Paper504", "Networking")
92	category("Paper741", "ArtificialIntelligence")
93	category("Paper501", "Databases")
94	category("Paper405", "HumanComputerInteraction")
95	category("Paper680", "OperatingSystems")
96	category("Paper597", "Programming")
97	category("Paper136", "InformationRetrieval")
98	category("Paper940", "DataStructuresAlgorithmsandTheory")
99	category("Paper142", "HumanComputerInteraction")
100	category("Paper201", "ArtificialIntelligence")
101	category("Paper184", "EncryptionandCompression")
102	category("Paper266", "InformationRetrieval")
103	category("Paper16", "EncryptionandCompression")
104	category("Paper591", "Networking")
105	category("Paper645", "ArtificialIntelligence")
106	category("Paper213", "Databases")
107	category("Paper266", "ArtificialIntelligence")
108	category("Paper886", "DataStructuresAlgorithmsandTheory")
109	category("Paper822", "Databases")
110	category("Paper141", "Networking")
111	category("Paper201", "HardwareandArchitecture")
112	category("Paper452", "Networking")
113	category("Paper500", "Programming")
114	category("Paper679", "Programming")
115	category("Paper60", "HumanComputerInteraction")
116	category("Paper333", "Databases")
117	category("Paper282", "HardwareandArchitecture")
118	category("Paper645", "Networking")
119	category("Paper128", "Programming")
120	category("Paper651", "Programming")
121	category("Paper611", "EncryptionandCompression")
122	category("Paper264", "ArtificialIntelligence")
123	category("Paper854", "InformationRetrieval")
124	category("Paper501", "OperatingSystems")
125	category("Paper294", "HumanComputerInteraction")
126	category("Paper144", "OperatingSystems")
127	category("Paper424", "InformationRetrieval")
128	category("Paper630", "EncryptionandCompression")
129	category("Paper489", "HardwareandArchitecture")
130	category("Paper56", "ArtificialIntelligence")
131	category("Paper995", "HumanComputerInteraction")
132	category("Paper164", "ArtificialIntelligence")
133	category("Paper526", "InformationRetrieval")
134	category("Paper605", "DataStructuresAlgorithmsandTheory")
135	category("Paper212", "ArtificialIntelligence")
136	category("Paper59", "InformationRetrieval")
137	category("Paper250", "ArtificialIntelligence")
138	category("Paper22", "HumanComputerInteraction")
139	category("Paper152", "ArtificialIntelligence")
140	category("Paper943", "DataStructuresAlgorithmsandTheory")
